 Aaron Kwok 
 Adam Sandler 
 Adam Storke 
 Adrian Pasdar 
 Adrian Paul 
 Aidan Quinn 
 Al Lewis 
 Al Pacino 
 Alan Alda 
 Alan Arkin 
 Alan Autry 
 Alan Rickman 
 Albert Finney 
 Alec Baldwin 
 Alec Guiness 
 Andre Braugher 
 Andrew Bednarski 
 Andrew Kavovit 
 Andrew Keegan 
 Andrew Lawrence 
 Andy Dick 
 Andy Garcia 
 Andy Griffith 
 Andy Lau 
 Anthony De Longis 
 Anthony Edwards 
 Anthony Geary 
 Anthony Hopkins 
 Anthony Perkins 
 Anthony Rapp 
 Anthony Stare 
 Anthony Stewart Head 
 Antonio Banderas 
 Antonio Sabato 
 Antony Sher 
 Arnold Schwarzenegger 
 Audie Murphy 
 Austin Peck 
 Avery Brooks 
 Barry Pepper 
 Barry Watson 
 Beau Bridges 
 Bela Lugosi 
 Ben Affleck 
 Ben Stiller 
 Benicio Del Torro 
 Bill Clinton 
 Bill Cosby 
 Bill Murray 
 Bill Paxton 
 Bill Pullman 
 Billy Baldwin 
 Billy Bob Thornton 
 Billy Crystal 
 Billy Dee Williams 
 Billy Madison 
 Billy Warlock 
 Billy Wirth 
 Billy Zane 
 Bob Costas 
 Brad Dourif 
 Brad Johnson 
 Brad Pitt 
 Brad Renfro 
 Brandon Broderick 
 Brandon Hammond 
 Brandon Lee 
 Brendan Fraser 
 Brenden Sexton Jr. 
 Brent Carver 
 Brent Spiner 
 Brian Austin Greene 
 Brian Dennehy 
 Brian Thompson 
 Brock Pierce 
 Bruce A. Young 
 Bruce Boxleitner 
 Bruce Campbell 
 Bruce GreenWood 
 Bruce Willis 
 Burt Lancaster 
 Burt Reynolds 
 Callan Mulvey 
 Callum Keith Rennie 
 Cameron Mathison 
 Cameron Starman 
 Carey Ewles 
 Carlos Leon 
 Carroll O'Conner 
 Carrot Top 
 Cary Grant 
 Casey Affleck 
 Casper Van Dien 
 Chad Fees 
 Charlie Chaplin 
 Charlie Sheen 
 Charlton Heston 
 Cheech Marin 
 Chevy Chase 
 Chris Cooper 
 Chris Farley 
 Chris Katten 
 Chris Larabe 
 Chris Noth 
 Chris O'Donell 
 Chris Penn 
 Chris Potter 
 Chris Rock 
 Chris Tucker 
 Christian Bale 
 Christian Slater 
 Christopher Lambert 
 Christopher Lloyd 
 Christopher Walkin 
 Chuck Norris 
 Ciarn Hinds 
 Clancy Brown 
 Clarence Gilyard Jr. 
 Clarke Gable 
 Clint Eastwood 
 Colin Firth 
 Colm Meaney 
 Corey Feldman 
 Corey Haim 
 Cuba Gooding Jr. 
 Curly Howard 
 D.B. Sweeney 
 Dale Midkiff 
 Damon Wayons 
 Dan Akroyd 
 Dan Haggerty 
 Dana Carvey 
 Daniel Cerny 
 Daniel Chan 
 Daniel Day Lewis 
 Danny Devito 
 Danny Fendly 
 Danny Glover 
 Danny Trejo 
 Dave Foley 
 Dave Morse 
 David Arquette 
 David Boreanaz 
 David Bowie 
 David Caruso 
 David Cassidy 
 David Chokachi 
 David Duchovny 
 David Gallagher 
 David Hart 
 David Hasselhoff 
 David Hyde Pierce 
 David Hyde-Pierce 
 David James Elliot 
 David Marciano 
 David McCallum 
 David Moscow 
 David Prowse 
 David Schwimmer 
 David Sidoni 
 David Spade 
 David Warner 
 Dean Cain 
 Dean Martin 
 Dean O'Gorman 
 Dean Stockwell 
 DeForest Kelly 
 Del Amitri 
 Denis Leary 
 Dennis Hopper 
 Dennis Quaid 
 Denzel Washington 
 Derek Jacobi 
 Dermot Mulroney 
 Desi Arnaz 
 Devon Sand 
 Devon Sawa 
 Dolph Lundgren 
 Don Johnson 
 Donald Gibson 
 Donald Sutherland 
 Donnie Walberg 
 Dougray Scott 
 Drew Carey 
 Dudley Moore 
 Dustin Diamond 
 Dustin Hoffman 
 Dylan McDermott 
 Dylan Neal 
 Ed Burns 
 Ed Harris 
 Eddie Cibrian 
 Eddie Murphy 
 Edward James Olmos 
 Edward Norton 
 Edward Woodward 
 Edwin McCain 
 Elijah Wood 
 Elvis 
 Emilio Estevez 
 Eric Close 
 Eric McCormack 
 Eric Stoltz 
 Eric Stolz 
 Erik Von Detten 
 Eriq LeSalle 
 Ethan Embry 
 Ethan Hawke 
 Ewan McGregor 
 Ewan Stewart 
 Fernando Colunga 
 Fisher Stevens 
 Frank Langella 
 Frank Sinatra 
 Frank Whaley 
 Frankie Avalon 
 Fred Astaire 
 Fred Savage 
 Freddy Prinze Jr. 
 Gabriel Byrne 
 Gabriel Damon 
 Garett Maggart 
 Garrett Wang 
 Gary Busey 
 Gary Cole 
 Gary Cooper 
 Gary Oldman 
 Gary Sinise 
 Gene Hackman 
 Gene Kelly 
 Gene Wilder 
 Geoffrey Rush 
 George C. Scott 
 George Carlin 
 George Clooney 
 Geraint Wyne Davies 
 Gerard Depardieu 
 Giovanni Ribisi 
 Greg Kinear 
 Greg Wise 
 Gregory Peck 
 Hamid Gurkha 
 Harrison Ford 
 Harvey Keitel 
 Henry Fonda 
 Henry Winkler 
 Howard Stern 
 Hugh Grant 
 Humphrey Bogart 
 Ian Ziering 
 Ingo Rademacher 
 Jack Haley 
 Jack Lemmon 
 Jack Nicholson 
 Jack Palance 
 Jack Wagner 
 Jackie Chan 
 Jackie Cheung Hok Yau 
 Jaime P. Gomez 
 James Belushi 
 James Bonamy 
 James Cagney 
 James Dean 
 James Earl Jones 
