 A.J. Langer 
 Alberta Watson 
 Alicia Silverstone 
 Ally Walker 
 Alyson Hannigan 
 Alyssa Milano 
 Amanda Pays 
 Amanda Peterson 
 Amanda Tapping 
 Amy Irving 
 Amy Jo Johnson 
 Andie Macdowell 
 Andrea Parker 
 Andrea Thompson 
 Angela Bassett 
 Angelica Houston 
 Angelina Jolie 
 Angie Harmon 
 Anita LaSelva 
 Ann Archer 
 Ann-Margret 
 Anna Galvin 
 Anna Maganani 
 Anne Bancroft 
 Anne Heche 
 Annette Bening 
 Ashley Judd 
 Audrey Hepburn 
 Barbara Eden 
 Barbara Stanwyck 
 Barbra Streisand 
 Bette Davis 
 Bette Midler 
 Beverley Mitchell 
 Bobbie Phillips 
 Bridget Fonda 
 Brittany Daniel 
 Brooke Langdon 
 Brooke Shields 
 Calista Flockhart 
 Cameron Diaz 
 Candice Bergen 
 Carmen Electra 
 Carmen Maura 
 Carol Burnette 
 Carrie Fisher 
 Cassandra Alyssa Moy 
 Cassandra Peters 
 Cate Blanchett 
 Catherine McCormack 
 Catherine Zeta-Jones 
 Charisma Carpenter 
 Charlize Theron 
 Chase Masterson 
 Cher 
 Cheryl Ladd 
 Christie Clark 
 Christina Applegate 
 Christina Ricci 
 Christine Steel 
 Christine Taylor 
 Cicely Tyson 
 Cindy Crawford 
 Claire Danes 
 Claudette Colbert 
 Claudia Christian 
 Colleen Dewhurst 
 Cory Everson 
 Courtney Cox 
 Courtney Love 
 Crystal Bernard 
 Cybill Shepherd 
 Cynthia Daniel 
 Dale Evans 
 Daniela Pestova 
 Danielle Fishel 
 Danielle McCormack 
 Darlene Vogel 
 Debra Messing 
 Debra Paget 
 Debra Winger 
 Debrah Farentino 
 Deidre Hall 
 Della Reese 
 Delta Burke 
 Demi Moore 
 Denise Richards 
 Diana Rigg 
 Dianne Keaton 
 Dina Meyer 
 Donna Derrico 
 Drew Barrymore 
 Elisabeth Shue 
 Elizabeth Berkely 
 Elizabeth Gracen 
 Elizabeth Hurley 
 Elizabeth Montgomery 
 Elizabeth Pena 
 Elizabeth Taylor 
 Elle MacPherson 
 Ellen DeGeneres 
 Emma Sams 
 Emma Thompson 
 Erika Eleniak 
 Eva LaRue 
 Eve Lambert 
 Fairuza Balk 
 Famke Janssen 
 Farrah Fawcett 
 Faye Dunaway 
 Fran Drescher 
 Gabby Hoffman 
 Gabrielle Anwar 
 Gates McFadden 
 Geena Davis 
 Gena Lee Nolin 
 Gena Rowlands 
 Genie Francis 
 Geri Halliwell 
 Gillian Anderson 
 Gina Gershon 
 Ginger Rogers 
 Glenn Close 
 Gloria Stuart 
 Goldy Hawn 
 Greta Scacchi 
 Guilietta Masina 
 Gwyneth Paltrow 
 Halle Berry 
 Hayley Mills 
 Heather Graham 
 Heather Locklear 
 Heather Thomas 
 Heidi Lucas 
 Helen Barkin 
 Helen Hunt 
 Helen Slater 
 Helena Bonham-Carter 
 Helena Ruzickova 
 Holly Hunter 
 Hudson Leick 
 Hunter Tylo 
 Ileana Douglas 
 Ingrid Bergman 
 Isabella Rosselini 
 Jaclyn Smith 
 Jada Pinkett Smith 
 Jamie Gertz 
 Jamie Lee Curtis 
 Jamie Luner 
 Jan Darwell 
 Jane Fonda 
 Jane Seymour 
 Janeane Garofolo 
 Janine Turner 
 Jean Arthur 
 Jenna Elfman 
 Jennie Garth 
 Jennie Jones 
 Jennifer Aniston 
 Jennifer Campbell 
 Jennifer Connelly 
 Jennifer Ehle 
 Jennifer Jason Leigh 
 Jennifer Jones 
 Jennifer Lien 
 Jennifer Lopez 
 Jennifer Love Hewitt 
 Jenny McCarthy 
 Jenny Murphy 
 Jeri Ryan 
 Jessica Biel 
 Jessica Lange 
 Jessica Steen 
 Joan Cusak 
 Jodie Foster 
 Joey Lauren Adams 
 Jordanna Brewster 
 Judith Dench 
 Judy Davis 
 Judy Garland 
 Julia Louis-Dreyfus 
 Julia Ormond 
 Julia Roberts 
 Julia Wainwright 
 Juliana Margulies 
 Julie Andrews 
 Julie Delpy 
 Julie Pinson 
 Juliet Landau 
 Juliet Stevenson 
 Juliette Binoche 
 Juliette Lewis 
 June Lockheart 
 Karen Allen 
 Karen Lynn Gorney 
 Kari Wuhrer 
 Kate Jackson 
 Kate McNeil 
 Kate Mulgrew 
 Kate Winslet 
 Katherine Heigl 
 Katherine Hepburn 
 Katherine Kelly 
 Kathie Lee Gifford 
 Kathleen Turner  
 Kathy Bates 
 Kathy Ireland 
 Kathy Kinney 
 Katie Holmes 
 Kellie Martin 
 Kelly LeBrock 
 Kelly Lynch 
 Kelly Preston 
 Kelly Ripa 
 Kelly Rutherford 
 Kenya Moore 
 Keri Russell 
 Kim Basinger 
 Kim Delaney 
 Kimberly McCulough 
 Kiristine Sutherland 
 Kirsten Dunst 
 Kirstie Alley 
 Krista Allen-Morrit 
 Kristen Alphonso 
 Kristen Cloke 
 Kristen Johnston 
 Kristen Scott Thomas 
 Kristy Swanson 
 Lacey Chabert 
 Lara Flynn Boyle 
 Laura Dern 
 Laura Linney 
 Laura San Giacomo 
 Lauren Bacall 
 Lea Salonga 
 Lea Thompson 
 Lee Lee Sobieski 
 Lena Heady 
 Lena Horne 
 Leni Parker 
 Lili Taylor 
 Lily Tomlin 
 Linda Carter 
 Linda Hamilton 
 Lisa Cerasoli 
 Lisa Howard 
 Lisa Kudrow 
 Lissa Rinna 
 Liv Tyler 
 Liz Vassey 
 Liza Minnelli 
 Lucille Ball 
 Lucy Lawless 
 Lynda Carter 
 Madeline Stowe 
 Madonna 
 Maggie Smith 
 Marcy Walker 
 Maria Bello 
 Marilyn Monroe 
 Marisa Tomei 
 Marlee Matlin 
 Mary Elizabeth Mastrantonio 
 Mary Stuart Masterson 
 Mary Tyler Moore 
 Mary-Kate and Ashley Olsen 
 Maureen O'Hara 
 Maxine Baines 
 May Beth Evans 
 Meg Ryan 
 Megan Follows 
 Melanie Griffith 
 Melinda Clarke 
 Melinda Culea 
 Melissa Gilbert 
 Melissa Leo 
 Melissa Reeves 
 Mellinda Allen 
 Mellisa Joan Hart 
 Meryl Streep 
 Mia Sara 
 Michelle Burke 
 Michelle Pfeiffer 
 Michelle Williams 
 Milla Jovovich 
 Mimi Rogers 
 Ming-Na-Wen 
 Minnie Driver 
 Mira Furlan 
 Mira Sorvino 
 Miranda Richardson 
 Mitzi Kapture 
 Moira Kelly 
 Morgan Fairchild 
 Nancy Lee Grahn 
 Nancy Valen 
 Nastassja Kinski 
 Natalie Portman 
 Natalie Wood 
 Natascha McElhone 
 Natasha Henstridge 
 Natasha Pavlovich 
 Neve Campbell 
 Nicole de Boer 
 Nicole Eggert 
 Nicole Kidman 
 Nicolette Sheridan 
 Nikki Cox 
 Nikki Yetter 
 Olivia Newton-John 
 Oprah Winfrey 
 Pam Grier 
 Pamela Anderson 
 Parker Posey 
 Patricia Arquette 
 Patricia Richards 
 Patti LaBelle 
 Paula Trickey 
 Peta Wilson 
 Phoebe Cates 
 Phylicia Rashad 
 Rachel Leigh Cook 
 Raquel Welch 
 Reba McEntire 
 Rebecca DeMornay 
 Rebecca Gayheart 
 Reese Witherspoon 
 Regina Taylor 
 Rene Russo 
 Renee O'Connor 
 Renee Zellweger 
 Robin Mattson 
 Robin Wright 
 Roma Downey 
 Rosanna Arquette 
 Rose Jackson 
 Rose McGowan 
 Rosie O'Donnell 
 Roxann Dawson 
 Sabrina Lloyd 
 Salley Field 
 Salli Richardson 
 Sally Field 
 Salma Hayek 
 Samantha Becke 
 Samantha Mathis 
 Sandra Bernhard 
 Sandra Bullock 
 Sandra Ferrell 
 Sarah Brown 
 Sarah Hotchner 
 Sarah Jessica Parker 
 Sarah Michelle Gellar 
 Scarlett Johansson 
 Sean Young 
 Shannen Doherty 
 Shari Lewis 
 Sharon Stone 
 Sheree J. Wilson 
 Sherry Stringfield 
 Shirley Jones 
 Shirley McClain 
 Shirley Temple 
 Sigourney Weaver 
 Sissy Spacek 
 Sophia Loren 
 Stacey Dash 
 Susan Hargrove 
 Susan Lucci 
 Susan Sarandon 
 Susan Walters 
 Suzzane Somers 
 Talisa Soto 
 Tamera Mowry 
 Tanya Roberts 
 Tatnya Ali 
 Tea Leoni 
 Teri Hatcher 
 Teri Polo 
 Terry Farrell 
 Theresa Randall 
 Thora Birch 
 Tia Carrere 
 Tia Mowry 
 Tiffani-Amber Thiessen 
 Tori Spelling 
 Tracey Nelson 
 Traci Bingham 
 Tracie Lords 
 Tracy Scoggins 
 Trisha Romance 
 Tyra Banks 
 Uma Thurman 
 Ursela Andress 
 Vanessa Angel 
 Vanessa Marcil 
 Vanessa Redgrave 
 Vanessa Williams 
 Veronica Sage 
 Victoria Adams 
 Victoria Principle 
 Victoria Rowell 
 Vivica A. Fox 
 Vivien Leigh 
 Vonda Shepherd 
 Whitney Houston 
 Whoopi Goldberg 
 Winona Ryder 
 Yancy Butler 
 Yasmine Bleeth 
